Name,Country,Profile,Period,Commodity,TradingDate,ExpiryDate,Contract,Underlying,Maturity,DeliveryStart,DeliveryEnd,Unit,ContractVolume,Type,Strike,SettlementPrice
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,36.5,10.761
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,37,10.307
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,65.5,0.062
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,66,0.05
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,66.5,0.041
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,67,0.033
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,67.5,0.026
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,62,0.244
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,62.5,0.202
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,63,0.167
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,63.5,0.137
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,64,0.113
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,64.5,0.092
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,59,0.719
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,59.5,0.606
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,60,0.508
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,60.5,0.425
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,61,0.354
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,61.5,0.294
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,56,1.835
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,56.5,1.591
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,57,1.371
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,57.5,1.176
Italian Base Quarter Option,Italian,Base,Quarter,Options,2019-11-19,2019-12-19,ODBQ,FDBQ 2020.01,2020.01,2020-01-01,2020-03-31,EUR/MWh,2183,C,58,1.003
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,37.5,9.858
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,38,9.416
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,43.5,1.713
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,44,1.893
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,44.5,2.088
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,45,2.296
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,45.5,2.518
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,46,2.754
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,56,9.925
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,56.5,10.367
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,57,10.814
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,57.5,11.265
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,42.5,1.392
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,43,1.546
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,53,7.386
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,53.5,7.793
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,54,8.207
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,54.5,8.628
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,55,9.055
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,55.5,9.487
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,30,16.966
